Category,Question,Answer,Site
내차팔기,"내차팔기는 어떤 절차로 진행되나요?
연장하다","기아 인증중고차 '내차팔기' 서비스는 아래와 같은 절차로 진행됩니다.
1. 차량정보 입력 → 예상 견적 확인
2. 방문평가 또는 데이터 평가 중 한가지 방식 선택
3. '내차팔기' 버튼 클릭 → 전자계약서 작성
4. 차량 인도 일정/장소 확정 → 탁송 기사 방문
5. 차량 인도 후 5분 이내 차량 대금 입금
6. 명의 이전 완료 → 차량등록증 발송
7. 보험해지 및 자동차세 환급 진행",기아자동차
내차팔기,"내차팔기 시 견적 기준이 어떻게 되나요?
연장하다","자체 개발 AI 엔진으로 시세를 모니터링한 후에
중고차 시세와 차량 연식, 주행거리, 사고 이력 등 다양한 요소를 종합적으로 분석하여 최종 견적을 고객님들께 제공드리고 있습니다.",기아자동차
내차팔기,"내차팔기 서비스를 이용할 수 있는 조건은 무엇인가요?
연장하다","기아 인증중고차 '내차팔기' 서비스 이용 조건은 아래와 같습니다.
1. 개인 또는 개인사업자
2. 연식 6년, 주행거리 12만 km 미만의 순정 기아 브랜드 차량 (※기아 커스터마이징 차량은 순정차량 분류)
3. 침수/압류 등 특수 사고 이력 없음
4. 근저당 설정 없음",기아자동차
내차팔기,"내차팔기에 필요한 서류는 무엇인가요?
연장하다","모든 서류는 발급일 기준 30일 이내만 유효합니다. (※세금계산서는 7일 이내 발급)
구비서류는 인도일 당일 탁송 기사에게 전달해주세요.
<기본 공통 서류>
1. 자동차등록증 (사본 가능)
2. 매도용인감증명서 또는 본인사실확인서 (원본만 가능)
3. 지방세 완납증명서
<추가 서류 (아래에 해당하는 경우)>
1. 공동명의 : 공동명의자 전원 자동차 매도용 인감증명서 또는 본인사실확인서
2. 외국인 : 거소사실확인서 또는 외국인 등록증
<사업자 서류>
1. 세금계산서
2. 비사업용 사실확인서
(복식부기자 해당 시) 표준재무상태표 또는 합계잔약시산표, 차량운반구 감가상각비명세서 또는 고정자산명세서
(간편장부 해당 시) 간편장부 소득금액 계산서, 총 수입금액 및 필요경비명세서",기아자동차
내차팔기,"매도용 인감증명서 발행 시 필요한 매수자 정보 어떻게 확인하나요?
연장하다","계약 완료 후 메일로 발송해드리는 매매계약서를 통해 확인 가능합니다.
매매계약서 내 <매수자(구매자) 정보>를 확인 후 아래의 기준을 참고하여 매도용 인감증명서 발급해주세요.
■ <기아(주) 용인 기아 인증중고차>로 확인되는 경우
① 법인명(단체명) : 기아(주) 용인 기아 인증중고차
② 법인등록번호 : 110111-0037998
③ 사업장 소재지: 경기도 용인시 기흥구 중부대로 242, A동 3층 W332, W333호 (영덕동, 오토허브)
*발급 시 용도: 자동차 판매용, 자동차 매수자에 체크
■ <기아(주) 인증중고차센터 평택직영점>로 확인되는 경우
① 법인명 : 기아(주) 인증중고차센터 평택직영점
② 법인등록번호 : 110111-0037998
③ 사업장 소재지: 경기도 평택시 청북읍 청원로 85-29
*발급 시 용도: 자동차 판매용, 자동차 매수자에 체크",기아자동차
내차팔기,"여러 대의 차량을 판매 할 수 있나요?
연장하다",내차팔기 서비스 이용 조건에 부합하는 차량은 모두 판매 가능합니다.,기아자동차
내차팔기,"예상 견적 조회 시 차량 정보 불일치로 나오는 이유가 무엇인가요?
연장하다",자동차등록증 상의 차량 정보('차량번호')와 계약자명을 정확하게 입력하셔야 예상 견적을 확인할 수 있습니다.,기아자동차
내차팔기,"상세 견적을 받아서 계약을 하려고 했는데 만료되었다고 합니다.
연장하다",견적가 유효기간은 견적일로부터 7 영업일입니다. 기간 초과 시 상세 견적이 만료되므로 복구 불가합니다.,기아자동차
내차팔기,"예상 견적이 만료되어 다시 견적을 요청했습니다. 가격이 변동되었는데 이유가 무엇인가요?
연장하다",견적가는 당사의 가격 정책과 실시간 중고차 시세에 따라 변동될 수 있습니다.,기아자동차
내차팔기,"근저당이 있는 경우 차량 판매가 가능한가요?
연장하다","근저당이 있는 경우 상세 견적 서비스까지는 이용 가능합니다.
내차팔기 서비스는 설정된 근저당을 말소한 후에 이용 가능합니다.",기아자동차
내차팔기,"공동명의 차량도 판매 가능한가요?
연장하다","판매 시 공동명의자 정보를 모두 입력해 주시고, 공동명의자 모두의 서류를 준비해주시면 됩니다.",기아자동차
내차팔기,"'내차팔기'를 취소하고 싶은데, 어떻게 해야 하나요?
연장하다","'내차팔기' 취소는 탁송기사 배정 전까지 [마이페이지 > 내차팔기 > 판매취소] 통해 직접 가능합니다.
자세한 내용은 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의 주시기 바랍니다.",기아자동차
내차팔기,"차량 판매 대금은 언제 입금되나요?
연장하다",차량 판매 대금은 탁송기사에게 차량 인도 후 최대 5분 이내에 명의자의 입금계좌로 지급됩니다.,기아자동차
내차팔기,"자동차 보험 해지는 언제 해야 하나요?
연장하다","명의이전이 완료되면 변경된 자동차 등록증 사본을 전달해 드립니다. 이후, 보험 해지를 진행하시면 됩니다.
※ 명의이전 완료 전 보험을 해지할 경우, 과태료가 발생할 수 있으므로 반드시 명의이전 완료 후 보험을 해지해주세요.",기아자동차
내차팔기,"주행거리 12만km 초과 차량도 내차팔기 서비스 이용이 가능한가요?
연장하다",주행거리 12만km 이내의 차량만 내차팔기 서비스 이용이 가능합니다.,기아자동차
회원,"법인 회원도 가입 가능한가요?
연장하다",법인 회원은 회원가입이 불가능합니다. 일반 개인과 개인사업자에 한해 회원 가입이 가능합니다.,기아자동차
회원,"기아 인증중고차 고객센터 운영 시간은 어떻게 되나요?
연장하다","- 평일: 09:00~18:00 (12:00~13:00 점심시간)
- 대표번호: 080-200-2000 ( AI상담사연결 (0번) > 인증중고차)",기아자동차
회원,"기아 인증중고차 서비스는 홈페이지 로그인을 해야만 이용할 수 있나요?
연장하다","기아 인증중고차는 홈페이지 비로그인 상태에서도 '내차팔기'의 예상 견적 확인과
'내차사기'의 매물 상세 조회 등 다양한 서비스 이용이 가능합니다.",기아자동차
회원,"아이디 또는 비밀번호를 찾고 싶습니다.
연장하다","기아 인증중고차 홈페이지 로그인 화면에서 본인인증 후
아이디 찾기 또는 비밀번호 재설정이 가능합니다.",기아자동차
방문평가/데이터평가,"방문평가 일정 변경이 가능한가요?
연장하다",[마이페이지 > 상세 견적 정보 > 일정변경] 메뉴에서 방문평가 일정을 변경하실 수 있습니다.,기아자동차
방문평가/데이터평가,"방문평가 예약 날짜가 방문 확정일자인 건가요?
연장하다","최종 방문 확정 전, 전문 평가사가 일정 조율을 위해 별도로 연락드릴 수 있으며, 일정이 확정되면 평가사 정보(연락처, 이름)와 방문 일정이 알림톡을 통해 안내됩니다.",기아자동차
방문평가/데이터평가,"일정 변경 또는 취소는 언제까지 가능한가요?
연장하다","방문 예정일 하루 전 낮 12시까지 일정 변경 및 취소가 가능합니다. 당일 취소는 어려우며,
부득이한 경우 담당 평가사 또는 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 연락 부탁 드립니다.",기아자동차
방문평가/데이터평가,"차량평가 방법은 어떻게 선택하나요?
연장하다","상세 견적 요청 단계에서 아래 두 가지 방법 중 한 가지를 선택하실 수 있습니다.
· 방문평가
· 데이터 평가
방문평가 선택 시 원하는 일정과 장소를 지정하시면 됩니다.",기아자동차
방문평가/데이터평가,"방문평가 운영 시간은 어떻게 되나요?
연장하다","월요일부터 토요일, 오전 9시부터 오후 8시까지 가능합니다.
(※ 일요일 및 공휴일 제외)",기아자동차
