카테고리코드,카테고리명,고유번호,질문,답변
C0002,내차사기,K202112000003,내차사기 홈서비스란 무엇인가요?,내차사기 홈서비스란 온라인으로 차량을 주문·결제하고 집에서 받아볼 수 있는 비대면 중고차 구매 서비스입니다.K Car 홈페이지 또는 앱에서 마음에 드는 차를 찾아 내차사기 홈서비스로 주문해 보세요. 즉시 결제 또는 상담 후 결제를 완료하면 K Car 전문 배송 기사가 안전하고 신속하게 차량을 배송해 드립니다.더 자세한 안내는 아래 [내차사기 홈서비스] 바로가기를 눌러 확인해 주세요.▶ [내차사기 홈서비스] 바로가기 (PC)▶ [내차사기 홈서비스] 바로가기 (모바일)&nbsp;
C0002,내차사기,K202112000004,내차사기 홈서비스 신청은 어떻게 하나요?,"내차사기 홈서비스 신청은 K Car 홈페이지 또는 앱에서 할 수 있습니다.■ 신청 방법① [내차사기 &gt; 차량검색]에서 마음에 드는 차량을 고르고 [홈서비스 바로구매]를 눌러 주세요.② 명의자 정보와 배송 정보를 입력해 주세요.③ K Car Warranty 가입 여부를 선택해 주세요.④ 현금, 카드, K Car 할부 중 원하는 결제 방식을 선택해 주세요. 여러 결제 방식을 중복 선택하여 금액을 나누어 결제할 수도 있습니다.⑤ 즉시 결제 또는 상담 후 결제를 진행해 주세요."
C0002,내차사기,K202112000006,내차사기 홈서비스 결제 진행은 어떻게 하나요?,"내차사기 홈서비스 신청 후 즉시 결제 또는 상담 후 결제를 진행할 수 있습니다.■ 즉시 결제- K Car 홈페이지 또는 앱에서 즉시 결제를 진행할 수 있습니다.&nbsp;- 즉시 결제 신청 후, 1시간 안에 일부 금액을 결제하셔야 합니다. 1시간 안에 일부 금액이 결제되지 않으면 주문은 자동으로 취소됩니다.- 즉시 결제 신청 후, 4시간 안에 모든 금액을 결제하셔야 합니다. 4시간 안에 모든 금액이 결제되지 않으면 결제 방식이 상담 후 결제로 자동 전환됩니다. 이후 결제는 상담사와 통화로 진행할 수 있습니다.&nbsp;- 즉시 결제가 어려우시면 K Car 고객센터(1588-5455, 서비스번호 1번)로 연락해 주세요.■ 상담 후 결제- K Car 전문상담사가 고객님께 전화를 드립니다. 자세한 전화 안내로 결제를 도와드리겠습니다.※ K Car 365 고객센터 : 월~금 : 09:00~21:00 토,일,공휴일 : 09:00~18:00 (단, 1월1일/설·추석당일/노동절 휴무)"
C0002,내차사기,K202112000005,내차사기 홈서비스 결제는 어떻게 하나요?,"내차사기 홈서비스 결제는 현금, 카드, K Car 할부 등 총 3가지 방식으로 할 수 있습니다.■ 현금- 가상계좌에 입금하여 결제할 수 있습니다.- 현금 결제 시 입금금액과 가상계좌번호를 알려 드립니다. 금액 확인 후 입금해 주세요.- 현금 결제 시 현금영수증을 받을 수 있습니다.&nbsp;■ 카드- 신용카드 결제는 삼성카드로만 할 수 있습니다.- 이전등록비를 제외한 모든 비용을 카드로 결제할 수 있습니다.- 카드 관련 사항은 삼성카드 자동차금융 상담센터(1688-3001) 또는 삼성카드 다이렉트오토 홈페이지로 문의해 주세요.■ K Car 할부- 365일 24시간 대출한도 조회 후 K Car 할부를 이용할 수 있습니다.- K Car 할부는 신용점수에 따라 최대 1억원을 최장 72개월까지 분할 상환할 수 있는 금융 상품입니다. 부담 없이 상담받아 보세요.- 일부 조건에 따라 K Car 할부 이용이 제한될 수 있습니다.(예: 만 25세 이하 병역미필자, 무소득자, 외국인, 공동명의 등)- 차량 환불로 대출을 취소하는 경우에는 중도상환수수료가 면제됩니다."
C0002,내차사기,K202112000007,내차사기 홈서비스로 주문하면 어디든지 배송되나요?,"네, 전국 어디서나 배송 받을 수 있습니다. 단, 섬 지역, 산간 지역은 도선료가 추가되거나 배송 시기가 늦어질 수 있습니다. 또한, 전기차를 구매하신 경우 출발지, 배송지, 차종에 따라 고객님과 배송 과정을 일부 협의해야 합니다.자세한 내용은 K Car 고객센터(1588-5455), 내차사기 홈서비스(서비스번호 1번)로 문의해 주세요."
C0002,내차사기,K202112000011,내차사기 홈서비스 환불이 제한되는 경우가 있나요?,"네, 아래의 경우에는 환불이 제한됩니다.&nbsp;■ 차량 환불 시 환불되지 않는 비용- 차량을 인수한 뒤 고객이 추가로 장착한 물품의 비용 및 차량에 투입한 비용(예: 블랙박스 장착 비용, 선팅 비용, 타이어 교체 비용, 각종 오일 교체 비용, 광택 및 세차 비용, 주유비·통행료 등 차량 운행에 사용된 비용), 단, 고객이 설치한 장착품은 분리 후 반환할 수 있음- 자동차 보험 해지 및 대출 취소 시 발생하는 수수료- 그 외 K Car 이용약관 제3조 제4항 환불금액 외의 금액■ 차량을 환불받을 수 없는 경우- 환불기간 안에 교통사고가 발생하거나 사고로 차량이 파손된 경우- 고객이 연 2회 이상 차량을 환불하는 경우- 고객이 차량 인수 후 해당 차량을 범죄에 이용한 경우- 고객이 차량 부품을 고의로 파손하거나 교체한 경우"
C0002,내차사기,K202112000010,내차사기 홈서비스 환불 신청은 어떻게 하나요?,차량을 인수한 날부터 3일(인수일 당일 포함) 안에 담당 차량평가사에게 환불을 신청하고 가까운 K Car 직영점에 차량을 반환해 주세요.환불기간인 3일 안에 환불을 신청하고 차량을 반환하면 배송비를 제외한 전액을 환불받을 수 있습니다.
C0002,내차사기,K202112000008,내차사기 홈서비스로 모든 차량을 구매할 수 있나요?,"K Car 직영중고차는 모두 내차사기 홈서비스로 구매할 수 있습니다. 단, 브랜드 인증관의 중고차는 각 수입차 브랜드 공식 딜러사가 직접 판매하는 차량으로, K Car 직영중고차가 아니기 때문에 내차사기 홈서비스를 이용할 수 없습니다."
C0002,내차사기,K202112000020,삼성카드로 결제하면 어떤 혜택이 있나요?,삼성카드 결제 혜택은 삼성카드 자동차금융 상담센터(1688-3001)로 문의하거나 아래 [삼성카드 혜택] 바로가기를 눌러 확인해 주세요.&nbsp;▶ [삼성카드 혜택] 바로가기(PC)▶ [삼성카드 혜택] 바로가기(모바일)
C0002,내차사기,K202112000021,품질 개선 중인 차량이 무엇인가요?,"품질 개선 중인 차량이란 K Car 자체 진단 중 외관이나 성능에 문제가 발견되어, 수리하거나 정비하고 있는 차량을 말합니다. 품질 개선에는 약 1~7일이 걸리며, 개선을 마치면 출고됩니다. 품질 개선 중인 차량을 미리 구매하고 싶으시면 담당 차량평가사에게 문의해 주세요. 자세히 안내해 드립니다.&nbsp;"
